,connection_cost_per_mw,construction_cost_per_mw,fixed_o_and_m_per_mw,infrastructure,insurance_cost_per_mw,pre_dev_cost_per_mw,variable_o_and_m_per_mwh,pre_dev_period,operating_period,construction_period,efficiency,average_load_factor,construction_spend_years,pre_dev_spend_years,Plant_Size,Type,Year
24,4885.837606013528,4371538.921776737,87687.92780460657,12857.467420136416,16714.7076461629,51429.869678730436,3.734100176408785,6.0,25.0,6.0,0.32,0.91,"[0.182, 0.182, 0.182, 0.182, 0.182, 0.091]","[0.16699999999999998, 0.16699999999999998, 0.16699999999999998, 0.16699999999999998, 0.16699999999999998, 0.16699999999999998]",552.0,Coal,2000.0
25,4344.668625019804,4802002.1647812165,89751.70714926893,11433.338490411434,18064.67481488518,80033.3694339707,3.7581737803952486,5.0,25.0,5.0,0.32,0.91,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]",624.0,Coal,2000.0
26,4339.387453342727,4453581.859433386,74568.9475623852,11419.440668049341,25922.130316468847,68516.64400831625,2.873285524440309,5.0,25.0,5.0,0.3,0.88,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]",652.0,Coal,2000.0
27,6241.986876726126,4599358.748330763,85580.92536406172,16426.281259452488,22996.793763170535,65705.12503809,8.168722307167632,5.0,25.0,5.0,0.35,0.88,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]",760.0,Coal,2000.0
28,7477.93632488456,5116482.749432377,110988.31809773897,19678.779804680264,18891.628612492957,118072.67882868357,5.4557159251405425,5.0,25.0,5.0,0.38,0.91,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]",734.0,Coal,2000.0
29,4390.791206778922,4852979.75068597,90704.50249942468,11554.713694162807,18256.447636677134,80882.99585625406,3.10076270174431,5.0,25.0,5.0,0.32,0.91,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]",624.0,Coal,2000.0
30,4124.069773451996,3689957.152996846,74016.19944226836,10852.815167414385,14108.659717697614,43411.260670965945,10.932523939291752,6.0,25.0,6.0,0.32,0.91,"[0.182, 0.182, 0.182, 0.182, 0.182, 0.091]","[0.16699999999999998, 0.16699999999999998, 0.16699999999999998, 0.16699999999999998, 0.16699999999999998, 0.16699999999999998]",552.0,Coal,2010.0
31,4589.832920975734,5072973.227072139,94816.28532175804,12078.507684304233,19084.04214118947,84549.5537899128,3.4849468187014776,5.0,25.0,5.0,0.32,0.91,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]",624.0,Coal,2010.0
32,4301.305608203324,4414497.861828296,73914.54110733813,11319.225284559963,25694.64139597177,67915.35170787104,4.564333732580101,5.0,25.0,5.0,0.3,0.88,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]",652.0,Coal,2010.0
33,7352.416938242054,5417570.3734060135,100805.50588485434,19348.465620862342,27087.851869224283,77393.86248339877,3.012051028894789,5.0,25.0,5.0,0.35,0.88,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]",760.0,Coal,2010.0
34,8383.49482863307,5736075.40773864,124428.71269977072,22061.828493051355,21179.355353406467,132370.97095869613,5.259500934666362,5.0,25.0,5.0,0.38,0.91,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]",734.0,Coal,2010.0
35,4442.43211758396,4910056.554144069,91771.29510376845,11690.610841250347,18471.165129200148,81834.27588769757,5.585934455223488,5.0,25.0,5.0,0.32,0.91,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]",624.0,Coal,2010.0
36,1076.6472746920836,8828507.652803095,156975.17264275867,24762.88731682156,21532.945492874886,516790.69183038094,21.310292627507078,5.0,60.0,8.0,1.0,0.9,"[0.05, 0.05, 0.2, 0.2, 0.2, 0.2, 0.05, 0.05]","[0.2, 0.2, 0.2, 0.2, 0.2]",3300.0,Nuclear,1980.0
37,812.8322608545346,6665224.539487052,118510.94366685189,18695.142004864534,16256.645221563609,390159.48532931134,3.11256679610485,5.0,60.0,8.0,1.0,0.9,"[0.05, 0.05, 0.2, 0.2, 0.2, 0.2, 0.05, 0.05]","[0.2, 0.2, 0.2, 0.2, 0.2]",3300.0,Nuclear,1990.0
38,789.5805719853759,6474560.683460242,115120.8476485871,18160.353195637326,15791.611474250722,378998.6753875067,15.695379559273833,5.0,60.0,8.0,1.0,0.9,"[0.05, 0.05, 0.2, 0.2, 0.2, 0.2, 0.05, 0.05]","[0.2, 0.2, 0.2, 0.2, 0.2]",3300.0,Nuclear,2000.0
39,809.287400381745,6636156.6842466565,117994.10302130762,18613.61021587858,16185.74801380305,388457.95233838295,13.404489952669255,5.0,60.0,8.0,1.0,0.9,"[0.05, 0.05, 0.2, 0.2, 0.2, 0.2, 0.05, 0.05]","[0.2, 0.2, 0.2, 0.2, 0.2]",3300.0,Nuclear,2010.0
40,10542.454179658882,4080950.005029245,78898.36676389872,11222.612513830423,4761.108339200786,374087.0837943474,26.550077573086178,4.0,24.0,2.0,0.0,0.32,"[0.5, 0.5]","[0.25, 0.25, 0.25, 0.25]",20.0,Onshore,1980.0
41,11589.342587574354,4486197.130673943,86733.1445263629,12337.042109353344,5233.896652452934,411234.7369784448,10.632799714756674,4.0,24.0,2.0,0.0,0.32,"[0.5, 0.5]","[0.25, 0.25, 0.25, 0.25]",20.0,Onshore,1990.0
42,6495.681812165507,2514457.4756769706,48612.844529754766,6914.758058111669,2933.5337216231324,230491.93527038896,5.137408550382675,4.0,24.0,2.0,0.0,0.32,"[0.5, 0.5]","[0.25, 0.25, 0.25, 0.25]",20.0,Onshore,2000.0
43,4042.6990121431845,1564915.7466360715,30255.03776829738,4303.518303249197,1825.7350377420835,143450.61010830654,7.944938048767615,4.0,24.0,2.0,0.0,0.32,"[0.5, 0.5]","[0.25, 0.25, 0.25, 0.25]",20.0,Onshore,2010.0
44,55857.50469018818,3668254.0393556417,51522.295370949694,115550.0022397027,2334.343479589954,100043.29198242658,9.521239038248007,5.0,23.0,3.0,0.0,0.43,"[0.33299999999999996, 0.33299999999999996, 0.33299999999999996]","[0.222, 0.222, 0.222, 0.222, 0.111]",321.0,Offshore,1980.0
45,76066.03893660328,3629393.5079095005,73495.21853516738,488455.8762728203,4990.416073375563,181469.67539547503,8.8432980237245,5.0,22.0,3.0,0.0,0.48,"[0.33299999999999996, 0.33299999999999996, 0.33299999999999996]","[0.222, 0.222, 0.222, 0.222, 0.111]",844.0,Offshore,1980.0
46,58373.962627942565,3833513.963626079,53843.44612547538,120755.68985422148,2439.5088859438683,104550.38082616578,3.2811346792897322,5.0,23.0,3.0,0.0,0.43,"[0.33299999999999996, 0.33299999999999996, 0.33299999999999996]","[0.222, 0.222, 0.222, 0.222, 0.111]",321.0,Offshore,1990.0
47,74956.37067156284,3576447.109577551,72423.0539689454,481330.17349731206,4917.6147756691325,178822.35547887755,10.873814608688145,5.0,22.0,3.0,0.0,0.48,"[0.33299999999999996, 0.33299999999999996, 0.33299999999999996]","[0.222, 0.222, 0.222, 0.222, 0.111]",844.0,Offshore,1990.0
48,57159.259949121784,3753742.444419938,52723.018878443676,118242.88699922805,2388.745191903597,102374.79393872559,6.293253962996847,5.0,23.0,3.0,0.0,0.43,"[0.33299999999999996, 0.33299999999999996, 0.33299999999999996]","[0.222, 0.222, 0.222, 0.222, 0.111]",321.0,Offshore,2000.0
49,75539.09320195949,3604250.967886735,72986.08209970639,485072.1094280898,4955.845080844261,180212.54839433677,9.807524979905015,5.0,22.0,3.0,0.0,0.48,"[0.33299999999999996, 0.33299999999999996, 0.33299999999999996]","[0.222, 0.222, 0.222, 0.222, 0.111]",844.0,Offshore,2000.0
50,55035.81099571202,3614292.065390043,50764.37491843287,113850.20005978635,2300.0040416118454,98571.60178336481,6.11645193255313,5.0,23.0,3.0,0.0,0.43,"[0.33299999999999996, 0.33299999999999996, 0.33299999999999996]","[0.222, 0.222, 0.222, 0.222, 0.111]",321.0,Offshore,2010.0
51,71833.57044873797,3427446.7013314343,69405.79570196154,461277.2018875222,4712.739214330722,171372.33506657172,11.145687564742431,5.0,22.0,3.0,0.0,0.48,"[0.33299999999999996, 0.33299999999999996, 0.33299999999999996]","[0.222, 0.222, 0.222, 0.222, 0.111]",844.0,Offshore,2010.0
52,7424.840840484923,3997991.221799574,31983.92977439659,2284.5664124568993,11422.832062284497,399799.1221799574,0.0,1.0,25.0,0.0,0.0,0.11,[1.0],[1.0],16.0,PV,1980.0
53,7424.840840484923,3997991.221799574,31983.92977439659,2284.5664124568993,11422.832062284497,399799.1221799574,0.0,1.0,25.0,0.0,0.0,0.11,[1.0],[1.0],16.0,PV,1990.0
54,7424.840840484923,3997991.221799574,31983.92977439659,2284.5664124568993,11422.832062284497,399799.1221799574,0.0,1.0,25.0,0.0,0.0,0.11,[1.0],[1.0],16.0,PV,2000.0
55,7424.840840484923,3997991.221799574,31983.92977439659,2284.5664124568993,11422.832062284497,399799.1221799574,0.0,1.0,25.0,0.0,0.0,0.11,[1.0],[1.0],16.0,PV,2010.0
